idx,incl,period_sec,dPdt_true,err_incl,err_period_sec,err_dPdt,cov_incl_incl,cov_incl_logP,cov_incl_dPdt,cov_logP_logP,cov_logP_dPdt,cov_dPdt_dPdt
1430,89.33498018447183,2218.6325514445343,-8.371468267323997e-13,0.003874955754757793,3.744497910460103e-06,1.4050394485429287e-17,1.5015282101330537e-05,9.222529312343155e-15,3.666365449099025e-21,2.8485013127520077e-18,-3.7987148635099577e-29,1.9741358519618174e-34
1458,89.8445311051941,12700.097677059059,-8.780104750360226e-14,0.026973110555232643,9.804910353880699e-05,4.853633351900262e-15,0.0007275486930248025,2.026473924913015e-12,1.8997813344784943e-17,5.960368793853416e-17,5.381236662646073e-26,2.3557756714678568e-29
1463,88.00466857693831,1297.9487534982702,-1.7579155489267633e-12,0.006135107134931906,2.3346220788344557e-06,5.0942336763130424e-18,3.763953955709238e-05,4.3148174543085735e-15,7.96414312113673e-23,3.2353262795481876e-18,-4.2339667269514946e-28,2.5951216748881894e-35
1464,88.06137891209139,2326.9929244118202,-9.464017665602299e-13,0.16842480016770328,1.5487682163535054e-05,9.543497860051853e-17,0.028366913311530784,-2.2811246646291986e-13,7.97710918062074e-20,4.4297858294267484e-17,1.0031444325884121e-26,9.10783514048143e-33
1484,88.48853408506739,5280.3884963600185,-2.8483719685188915e-13,0.23685305845584964,5.528134929351255e-05,1.1415110304024e-15,0.05609937129989012,-5.0621795014685665e-12,-3.5913862923745234e-18,1.096037760888088e-16,-1.3615789773442728e-27,1.3030474325303491e-30
1516,86.29215452789447,1470.9226234908976,-1.546782704953803e-12,0.03596835229714494,5.5614503132388714e-06,2.107521491189266e-17,0.0012937223669715317,-9.793708523197458e-13,-7.594180321989291e-20,1.429540512968197e-17,1.9784909055348316e-29,4.441646835824628e-34
1541,89.71091456544315,3241.081815139574,-7.634119552416404e-13,0.025025202458863357,2.1237383989525686e-05,2.1066085511359996e-16,0.0006262607581071007,-3.795144711894965e-14,1.4178609345136161e-18,4.293604631769794e-17,9.303562147001906e-28,4.4377995877193155e-32
1552,88.54513816101436,1382.571620514271,-1.4379746248814555e-12,0.005209478731396651,2.503913761643741e-06,6.781561508128919e-18,2.713866865287406e-05,-1.0478176736812371e-14,5.4149669665636876e-21,3.2799215634278292e-18,-3.253678042122327e-30,4.598957648853579e-35
1559,89.59770844090612,5131.831791154011,-3.9124580077018615e-13,0.010914918656041847,3.79083556601873e-05,4.837869405984956e-16,0.00011913544926801037,-2.632122479041163e-14,7.69388024584161e-19,5.456637049673697e-17,-4.176203868998664e-28,2.340498038936523e-31
1565,89.91996455416509,4008.569575544922,-7.593015132187592e-13,0.0795301033827344,3.102310437561518e-05,3.1469484988568686e-16,0.006325037344068422,2.8299648071061114e-13,3.0782607627729896e-18,5.989514990298812e-17,2.3767120363747973e-29,9.9032848544575e-32
